Facility Id,Zip Code,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions 
1012401,73734,48285.674,46808.7,1450.75,26.224
1012062,75631,87035.128,80561.2,6455.75,18.178
1002325,79755,503364.964,454741,48372.75,251.214
1004137,76179,37505.388,30803.2,6685.5,16.688
1001132,79731,101936.454,85097.1,16795.25,44.104
1012617,58640,39419.556,38343.6,1054.5,21.456
1008476,58854,50111.622,47211.1,2874,26.522
1007367,58838,70493.722,60568,9891.75,33.972
1010302,58801,64872.314,62243.4,2593.75,35.164
1006373,76426,490857.282,487496.5,3186.75,174.032
1013882,78380,116229.266,116078.6,86,64.666
1013903,77833,112944.86,111262.1,1647,35.76
1009840,71052,311501.204,308983.9,2465.75,51.554
1013714,58572,15676.298,13597.3,2071.25,7.748
1012788,79739,38131.546,37490.3,625.75,15.496
1004302,73932,44313.61,37471.5,6821.25,20.86
1008062,58622,32554.982,31997.9,539.5,17.582
1013406,70380,25525.85,25337.9,180.5,7.45
1010544,74653,29771.82,28742.8,957.5,71.52
1002298,75861,50841.906,46802.7,4017.75,21.456
1002251,36502,225597.316,211510.9,14021.75,64.666
1013904,76932,39635.806,39175.6,438.75,21.456
1013774,88256,76222.656,73184.7,3016.5,21.456
1004551,82934,112717.73,111538.9,1116.25,62.58
1013167,73089,34462.282,32745.4,1706.75,10.132
1012023,43754,23880.92,21085.5,2783.5,11.92
1010152,16033,118203.864,114674.9,3464,64.964
1005705,55310,92901.802,92527.7,322.25,51.852
1001559,52057,89568.414,89183.6,334.75,50.064
1001560,61283,66096.002,65917.3,141.75,36.952
1000245,58030,98860.528,98644.6,160.5,55.428
1001558,58492,96607.036,96349.3,203.5,54.236
1004929,67512,12358.708,10976.7,1375.75,6.258
1004926,52535,30653.19,29171.8,1465,16.39
1004928,49106,43768.946,40945.5,2800.5,22.946
1005235,38012,39865.466,35638.5,4207,19.966
1005245,47521,50645.922,47139.4,3480,26.522
1009589,38224,35127.488,29782.8,5328,16.688
1011138,71232,34649.678,32371.5,2260,18.178
1004932,79040,14076.302,12645.4,1423.75,7.152
1004930,67441,27460.72,21275.3,6173.5,11.92
1013036,70535,74498.726,72506.4,1951.5,40.826
1004776,67054,22499.178,19329.2,3159.25,10.728
1005238,38703,29669.9,26664,2991,14.9
1004923,49419,35035.824,33550.8,1466.25,18.774
1004935,66432,4434.238,3301.7,1130.75,1.788
1013314,71342,67851.048,66881,932.5,37.548
1013969,46761,13774.552,12672.4,1095,7.152
1005953,50147,14020.404,12079.3,1934.25,6.854
1005242,77002,40246.208,37476.8,2748.25,21.158
1005060,64466,32580.596,27653.1,4912,15.496
1009733,67864,15986.198,13759.2,2219.25,7.748
1014584,70546,34564.22,34316.6,228.25,19.37
1004769,61465,6174.684,4433.8,1738.5,2.384
